pearsons_correlation,Metadata_treatment,plate_name_0,plate_name_1
0.859894218306199,UCD-0000450,Plate_1,Plate_2
0.822085914009614,UCD-0000450,Plate_1,Plate_3
0.8666370079795777,UCD-0000450,Plate_1,Plate_4
0.8121858835474127,UCD-0000450,Plate_2,Plate_3
0.7955505890597261,UCD-0000450,Plate_2,Plate_4
0.7956993184102952,UCD-0000450,Plate_3,Plate_4
0.8886079786320856,UCD-0001014,Plate_1,Plate_2
0.8144005019075469,UCD-0001014,Plate_1,Plate_3
0.8101299994742491,UCD-0001014,Plate_1,Plate_4
0.8092501310204724,UCD-0001014,Plate_2,Plate_3
0.8222732467826975,UCD-0001014,Plate_2,Plate_4
0.9182360971336304,UCD-0001014,Plate_3,Plate_4
0.8551609713810379,UCD-0001016,Plate_1,Plate_2
0.8890941363596275,UCD-0001016,Plate_1,Plate_3
0.8755726603068946,UCD-0001016,Plate_1,Plate_4
0.8403112303300848,UCD-0001016,Plate_2,Plate_3
0.9153909828567484,UCD-0001016,Plate_2,Plate_4
0.8324179238591919,UCD-0001016,Plate_3,Plate_4
0.8145403748907079,UCD-0001024,Plate_1,Plate_2
0.8406681071205558,UCD-0001024,Plate_1,Plate_3
0.9104556291456656,UCD-0001024,Plate_1,Plate_4
0.8488461024670501,UCD-0001024,Plate_2,Plate_3
0.8059396988516231,UCD-0001024,Plate_2,Plate_4
0.7484949718964332,UCD-0001024,Plate_3,Plate_4
0.888763302755498,UCD-0001040,Plate_1,Plate_2
0.8820965025672391,UCD-0001040,Plate_1,Plate_3
0.8840601815412309,UCD-0001040,Plate_1,Plate_4
0.8431959108708402,UCD-0001040,Plate_2,Plate_3
0.9172696079499878,UCD-0001040,Plate_2,Plate_4
0.8531179470503745,UCD-0001040,Plate_3,Plate_4
0.6220310073599109,UCD-0001613,Plate_1,Plate_2
0.8337894443104783,UCD-0001613,Plate_1,Plate_3
0.822986310753701,UCD-0001613,Plate_1,Plate_4
0.657797791075439,UCD-0001613,Plate_2,Plate_3
0.7183940432346846,UCD-0001613,Plate_2,Plate_4
0.7935499013712994,UCD-0001613,Plate_3,Plate_4
0.9297915289945604,UCD-0001766,Plate_1,Plate_2
0.9582271939430057,UCD-0001766,Plate_1,Plate_3
0.9480740215748588,UCD-0001766,Plate_1,Plate_4
0.9308320554677584,UCD-0001766,Plate_2,Plate_3
0.9608324043184711,UCD-0001766,Plate_2,Plate_4
0.9458286175026624,UCD-0001766,Plate_3,Plate_4
0.8657354107542939,UCD-0001775,Plate_1,Plate_2
0.8806758436719934,UCD-0001775,Plate_1,Plate_3
0.8369723577881583,UCD-0001775,Plate_1,Plate_4
0.8868172633028129,UCD-0001775,Plate_2,Plate_3
0.8857754232062663,UCD-0001775,Plate_2,Plate_4
0.8620083654495665,UCD-0001775,Plate_3,Plate_4
0.07203131887485698,UCD-0001783,Plate_2,Plate_4
0.38890711103122316,UCD-0001792,Plate_1,Plate_3
0.8589381271042864,UCD-0001801,Plate_1,Plate_2
0.8962874452940183,UCD-0001801,Plate_1,Plate_3
0.8900198371618762,UCD-0001801,Plate_1,Plate_4
0.9396947760199769,UCD-0001801,Plate_2,Plate_3
0.9229263012183881,UCD-0001801,Plate_2,Plate_4
0.9252644888599408,UCD-0001801,Plate_3,Plate_4
0.8960660387219149,UCD-0001804,Plate_1,Plate_2
0.9230097802003975,UCD-0001804,Plate_1,Plate_3
0.8952772903893927,UCD-0001804,Plate_1,Plate_4
0.921544095620152,UCD-0001804,Plate_2,Plate_3
0.9453085342944968,UCD-0001804,Plate_2,Plate_4
0.9349001386696175,UCD-0001804,Plate_3,Plate_4
0.8254345907625021,UCD-0001808,Plate_1,Plate_2
0.891554615031017,UCD-0001808,Plate_1,Plate_3
0.7701221016795562,UCD-0001808,Plate_1,Plate_4
0.7639195895489591,UCD-0001808,Plate_2,Plate_3
0.6804599883910413,UCD-0001808,Plate_2,Plate_4
0.7731677727208078,UCD-0001808,Plate_3,Plate_4
0.8343570246344356,UCD-0001810,Plate_1,Plate_2
0.8673170574845506,UCD-0001810,Plate_1,Plate_3
0.8614388661480649,UCD-0001810,Plate_1,Plate_4
0.8811784996032702,UCD-0001810,Plate_2,Plate_3
0.8699265197055046,UCD-0001810,Plate_2,Plate_4
